job_key,job_title,company,status,application_stage,date_applied,follow_up,last_updated,resume_used,cover_letter_used,recruiter_name,recruiter_email,interview_date,salary,apply_url,source_email_url,job_link,notes
territory sales specialist|esab|greater minneapolis st paul area remote,Territory Sales Specialist,ESAB Corporation,Not Applied,Not Applied,,,2026-06-27,General Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4421799821/?trackingId=QJGkhHPPZaoM%2FrTrIzkuFg%3D%3D&refId=XcA0gHVITG8vZcN2rPKByg%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BuhoiBlAkSBSILvJvXp3UTA%3D%3D&midToken=AQEueGkJOVadGg&midSig=1_S1rCbM5qjIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4421799821_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4421799821_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t-null-e8kqnz~mqutsw26~3t-null-null&eid=e8kqnz-mqutsw26-3t&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjM4ZWM3ZDk0NzlkYWU4YTYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4ODlhNjFjYmNlZTc1M2EwNjVkZGViODQ0MzZmODFlMGU1MmY3M2VlZGZmZjZhNzAsMSwx,https://mail.google.com/mail/u/0/#all/19f039c3908314be,https://www.linkedin.com/comm/jobs/view/4421799821/?trackingId=QJGkhHPPZaoM%2FrTrIzkuFg%3D%3D&refId=XcA0gHVITG8vZcN2rPKByg%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BuhoiBlAkSBSILvJvXp3UTA%3D%3D&midToken=AQEueGkJOVadGg&midSig=1_S1rCbM5qjIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4421799821_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4421799821_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t-null-e8kqnz~mqutsw26~3t-null-null&eid=e8kqnz-mqutsw26-3t&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjM4ZWM3ZDk0NzlkYWU4YTYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4ODlhNjFjYmNlZTc1M2EwNjVkZGViODQ0MzZmODFlMGU1MmY3M2VlZGZmZjZhNzAsMSwx,
"account executive - pharmacy solutions - remote|optum|eden prairie, mn",Account Executive - Pharmacy Solutions - Remote,Optum,Not Applied,Not Applied,,,2026-06-27,General Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432874476/?trackingId=o0Ru12XpD64CwnaGBjb0pg%3D%3D&refId=XcA0gHVITG8vZcN2rPKByg%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BuhoiBlAkSBSILvJvXp3UTA%3D%3D&midToken=AQEueGkJOVadGg&midSig=1_S1rCbM5qjIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432874476_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432874476_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t-null-e8kqnz~mqutsw26~3t-null-null&eid=e8kqnz-mqutsw26-3t&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjM4ZWM3ZDk0NzlkYWU4YTYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4ODlhNjFjYmNlZTc1M2EwNjVkZGViODQ0MzZmODFlMGU1MmY3M2VlZGZmZjZhNzAsMSwx,https://mail.google.com/mail/u/0/#all/19f039c3908314be,https://www.linkedin.com/comm/jobs/view/4432874476/?trackingId=o0Ru12XpD64CwnaGBjb0pg%3D%3D&refId=XcA0gHVITG8vZcN2rPKByg%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BuhoiBlAkSBSILvJvXp3UTA%3D%3D&midToken=AQEueGkJOVadGg&midSig=1_S1rCbM5qjIk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432874476_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432874476_ssid_15481358100_fmid_e8kqnz~mqutsw26~3t-null-e8kqnz~mqutsw26~3t-null-null&eid=e8kqnz-mqutsw26-3t&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjM4ZWM3ZDk0NzlkYWU4YTYxNzljMzA2Njk0NjUyNTVmMWY3ZGY4ODlhNjFjYmNlZTc1M2EwNjVkZGViODQ0MzZmODFlMGU1MmY3M2VlZGZmZjZhNzAsMSwx,
sales operations systems analyst|swooped|us remote,Sales Operations Systems Analyst,Swooped,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432416470/?trackingId=49KFrgV4wQbwYgbuoSD4yg%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432416470_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432416470_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4432416470/?trackingId=49KFrgV4wQbwYgbuoSD4yg%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432416470_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4432416470_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
"salesforce administrator|watts water technologies|north andover, ma",Salesforce Administrator,Watts Water Technologies,Not Applied,Not Applied,,,2026-06-27,Salesforce Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432404852/?trackingId=v79xBKWl7jytztJF4DAc%2FQ%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432404852_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432404852_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4432404852/?trackingId=v79xBKWl7jytztJF4DAc%2FQ%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432404852_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_1_jobid_4432404852_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
"crm & data analyst|chicago fire fc|chicago, il",CRM & Data Analyst,Chicago Fire FC,Not Applied,Not Applied,,,2026-06-27,Salesforce Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4428045028/?trackingId=0bv5lZggZgbVMN4MH39dow%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_2_jobid_4428045028_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_2_jobid_4428045028_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4428045028/?trackingId=0bv5lZggZgbVMN4MH39dow%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_2_jobid_4428045028_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_2_jobid_4428045028_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
systems operations manager|commure|us remote,Systems Operations Manager,Commure,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4398904830/?trackingId=p6mR3a7%2BwWUkceUj3fWEGA%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_3_jobid_4398904830_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_3_jobid_4398904830_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4398904830/?trackingId=p6mR3a7%2BwWUkceUj3fWEGA%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_3_jobid_4398904830_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_3_jobid_4398904830_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
commercial ops system admin|drivecentric|us remote,Commercial Ops System Admin,DriveCentric,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432409574/?trackingId=zz02SxJjuYxUilndYimq%2FA%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4432409574_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4432409574_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4432409574/?trackingId=zz02SxJjuYxUilndYimq%2FA%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4432409574_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4432409574_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
sales operations associate|jobgether|us remote,Sales Operations Associate,Jobgether,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432238676/?trackingId=4FZ2lAdxYBn7c8mAo5oVkg%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432238676_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432238676_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,https://mail.google.com/mail/u/0/#all/19f032fa4881b69f,https://www.linkedin.com/comm/jobs/view/4432238676/?trackingId=4FZ2lAdxYBn7c8mAo5oVkg%3D%3D&refId=P6YEhhUqFh7Ij8TCtrxaXQ%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BvEJ%2BYwrSQ3%2B%2BuiXnSyruqg%3D%3D&midToken=AQEueGkJOVadGg&midSig=1TB1ZQrs7zjsk1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432238676_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432238676_ssid_15752758604_fmid_e8kqnz~mqupikgn~jl-null-e8kqnz~mqupikgn~jl-null-null&eid=e8kqnz-mqupikgn-jl&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjI4YmM2ZDc0ODkwYTY4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGZhYmUyNTZiNGQzZGU0M2ZjNWJkYjFmY2MzMzIyMDk5ZWQ1ZWVmMjFlYzM5ZTMxNTYsMSwx,
"analyst, revenue operations|jd power|us remote","Analyst, Revenue Operations",JD Power,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4429829186/?trackingId=S8NrS5yLIf4CH4FBz02qAg%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4429829186_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4429829186_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,https://mail.google.com/mail/u/0/#all/19f02529ec22e682,https://www.linkedin.com/comm/jobs/view/4429829186/?trackingId=S8NrS5yLIf4CH4FBz02qAg%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4429829186_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_0_jobid_4429829186_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,
sales operations specialist|qcells north america|us remote,Sales Operations Specialist,Qcells North America,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4433008204/?trackingId=kstyUxq3Bc4G%2Br6LIdszKw%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4433008204_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4433008204_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,https://mail.google.com/mail/u/0/#all/19f02529ec22e682,https://www.linkedin.com/comm/jobs/view/4433008204/?trackingId=kstyUxq3Bc4G%2Br6LIdszKw%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4433008204_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_4_jobid_4433008204_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,
senior revenue operations analyst|rain|us remote,Senior Revenue Operations Analyst,Rain,Not Applied,Not Applied,,,2026-06-27,Sales Ops / RevOps Resume,No,,,,,https://www.linkedin.com/comm/jobs/view/4432861518/?trackingId=CXzVcdhb7%2B06vv%2BfBPaGbg%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432861518_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432861518_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,https://mail.google.com/mail/u/0/#all/19f02529ec22e682,https://www.linkedin.com/comm/jobs/view/4432861518/?trackingId=CXzVcdhb7%2B06vv%2BfBPaGbg%3D%3D&refId=1xrk5VWQIs9y7RIZUING5w%3D%3D&lipi=urn%3Ali%3Apage%3Aemail_email_job_alert_digest_01%3BEXXfPvFtQ1%2BBD4LSy0iHiw%3D%3D&midToken=AQEueGkJOVadGg&midSig=01cu5m4G3Ojck1&trk=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432861518_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-job_posting_5_jobid_4432861518_ssid_15973904988_fmid_e8kqnz~mqugxx26~r1-null-e8kqnz~mqugxx26~r1-null-null&eid=e8kqnz-mqugxx26-r1&otpToken=MWEwMzFlZTkxMTJmYzljM2I1MjQwNGVkNGUxY2UzYjE4ZmNkZDk0NDkwYWI4YzYxNzljMzA2Njk0NjUyNTVmMWY3ZGY5ZmE2NDRiN2MxZGE1ZWIzNTk1OTBhN2FkODY4ZTc3OGJjYjRhYWU1YmJhMzdlN2UsMSwx,
salesforce administrator jobs mn|minnesota|logo,Salesforce administrator jobs mn,Minnesota,Not Applied,Not Applied,,,2026-06-27,Salesforce Resume,No,,,,,,https://mail.google.com/mail/u/0/#all/19f0182b8bc0ace7,,
"sr. salesforce administrator|fnbo|minneapolis, mn, us",Sr. Salesforce Administrator,FNBO,Not Applied,Not Applied,,,2026-06-27,Salesforce Resume,No,,,,,,https://mail.google.com/mail/u/0/#all/19f0182b8bc0ace7,,
salesforce developer columbus oh or minneapolis mn 4 days onsite 1 day|remote|hyr global source inc,Salesforce Developer Columbus OH or Minneapolis MN 4 days onsite 1 day,remote,Not Applied,Not Applied,,,2026-06-27,Salesforce Resume,No,,,,,,https://mail.google.com/mail/u/0/#all/19f0182b8bc0ace7,,
