job_title,company,location,source,score,fit_category,target_track,recommended_resume,resume_fit_level,job_intelligence_summary,why_this_fits,resume_focus,job_intelligence_interview_focus,potential_concerns,suggested_next_action,application_stage,email_date
Salesforce Admin – United States – Remote,hirevista,South Africa,Google Job Alert,120,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Admin – United States – Remote at hirevista is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Global Salesforce Admin & BI Reporting Lead,Banner Engineering,"Minneapolis, MN, United States",Google Job Alert,120,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Global Salesforce Admin & BI Reporting Lead at Banner Engineering is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Admin – United States – Remote,GFGG IT Solutions,United States,Google Job Alert,120,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Salesforce Admin – United States – Remote at GFGG IT Solutions is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Revenue Ops Salesforce Admin | Remote & Flexible Hours,MonetizeMore,via Himalayas,Google Job Alert,120,Excellent Match,Salesforce / CRM,Salesforce Resume,Excellent Resume Fit,"Revenue Ops Salesforce Admin | Remote & Flexible Hours at MonetizeMore is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sales Operations Systems Analyst,Swooped,United States (Remote),LinkedIn,115,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Sales Operations Systems Analyst at Swooped is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
"Analyst, Revenue Operations",JD Power,United States (Remote),LinkedIn,115,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Analyst, Revenue Operations at JD Power is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-26
CRM SALESFORCE ADMINISTRATOR (REMOTE),frontendnode-production.up.railway.app,France,Google Job Alert,115,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"CRM SALESFORCE ADMINISTRATOR (REMOTE) at frontendnode-production.up.railway.app is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location appears outside the target area,Prioritize for application,Not Applied,2026-06-24
Remote Dynamics 365 CRM Admin & Adoption Specialist,ASC Engineered Solutions,"Dallas, TX, United States",Google Job Alert,115,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Remote Dynamics 365 CRM Admin & Adoption Specialist at ASC Engineered Solutions is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Operations Analyst - Entry to Mid Level,Escuela Argentina de Ergonomía,United States (Remote),LinkedIn,110,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Operations Analyst - Entry to Mid Level at Escuela Argentina de Ergonomía is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-25
CRM Administrator,University of St. Thomas,Greater Minneapolis-St. Paul Area,LinkedIn,110,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"CRM Administrator at University of St. Thomas is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Dynamics CRM Administrator,ASC Engineered Solutions,via Ladders,Google Job Alert,110,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Dynamics CRM Administrator at ASC Engineered Solutions is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location may need manual review,Prioritize for application,Not Applied,2026-06-24
Operations Analyst,Optomi,United States (Remote),LinkedIn,110,Excellent Match,Operations / Supply Chain,Operations / Supply Chain Resume,Strong Resume Fit,"Operations Analyst at Optomi is a excellent match for the Operations / Supply Chain track. Aligns with operations, inventory, purchasing, and process improvement experience Good fit for connecting plant operations experience to analytics and reporting Matches preferred location/work arrangement","Aligns with operations, inventory, purchasing, and process improvement experience | Good fit for connecting plant operations experience to analytics and reporting | Matches preferred location/work arrangement","Use Operations / Supply Chain Resume. Focus on: Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Operations Analyst,Catalyst Power Holdings LLC,United States (Remote),LinkedIn,110,Excellent Match,Operations / Supply Chain,Operations / Supply Chain Resume,Strong Resume Fit,"Operations Analyst at Catalyst Power Holdings LLC is a excellent match for the Operations / Supply Chain track. Aligns with operations, inventory, purchasing, and process improvement experience Good fit for connecting plant operations experience to analytics and reporting Matches preferred location/work arrangement","Aligns with operations, inventory, purchasing, and process improvement experience | Good fit for connecting plant operations experience to analytics and reporting | Matches preferred location/work arrangement","Use Operations / Supply Chain Resume. Focus on: Use the Operations / Supply Chain resume | Highlight inventory, purchasing, work orders, Maximo, and plant operations | Connect storeroom experience to process improvement and data tracking",Inventory control | Purchasing and receiving | Process improvement | Operations problem solving,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
"Analyst, Sales Operations",SpotOn,"Chicago, IL (Hybrid)",LinkedIn,105,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Analyst, Sales Operations at SpotOn is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-25
Salesforce business analyst mn,Minnesota,Logo,Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce business analyst mn at Minnesota is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Business Analyst,Hollstadt Consulting,"Brooklyn Park, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce Business Analyst at Hollstadt Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Revenue Operations Analyst,Auris,"Oklahoma City, OK",LinkedIn,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Revenue Operations Analyst at Auris is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Location may need manual review,Prioritize for application,Not Applied,2026-06-25
Sales Operations Analyst,Radancy,United States,LinkedIn,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Sales Operations Analyst at Radancy is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Business Analyst (Annuity/Salesforce),FUSTIS LLC,"Golden Valley, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Business Analyst (Annuity/Salesforce) at FUSTIS LLC is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
SalesForce Business Analyst,IWCO Direct,"Chanhassen, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"SalesForce Business Analyst at IWCO Direct is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sr. Salesforce Data & Marketing Cloud Business Analyst,Fustis LLC,"Minneapolis, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Sr. Salesforce Data & Marketing Cloud Business Analyst at Fustis LLC is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Salesforce Business Analyst Financial Services,ClifyX,"Minneapolis, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce Business Analyst Financial Services at ClifyX is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
"Salesforce Data Cloud Business Analyst:: Eden Prairie, MN :: Onsite",Arkhya Tech,"Eden Valley, MN, United States",Google Job Alert,105,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce Data Cloud Business Analyst:: Eden Prairie, MN :: Onsite at Arkhya Tech is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Review possible missing/watch skills: Data Cloud,Prioritize for application,Not Applied,2026-06-24
Business Analyst/Project Coordinator,On-Demand Group,Greater Minneapolis-St. Paul Area (Hybrid),LinkedIn,100,Excellent Match,Business Analyst,Business Analyst Resume,Strong Resume Fit,"Business Analyst/Project Coordinator at On-Demand Group is a excellent match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Fraud Analyst - Remote,Optum,"Eden Prairie, MN",LinkedIn,100,Excellent Match,Data / Reporting,Business Analytics Resume,Strong Resume Fit,"Fraud Analyst - Remote at Optum is a excellent match for the Data / Reporting track. Aligns with reporting, dashboards, Excel, Tableau, and analytics development Good opportunity to discuss data storytelling and decision support Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with reporting, dashboards, Excel, Tableau, and analytics development | Good opportunity to discuss data storytelling and decision support | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Business Analytics Resume. Focus on: Use the Business Analytics resume | Highlight Excel, dashboards, reporting, Tableau, and analytics coursework | Show how reports helped decision making",Excel analysis | Dashboard design | Data storytelling | SQL/SOQL basics,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Senior IT Business Analyst: ERP & Healthcare Ops,Tactile Medical,"Minneapolis, MN, United States",Google Job Alert,100,Excellent Match,Business Analyst,Business Analyst Resume,Strong Resume Fit,"Senior IT Business Analyst: ERP & Healthcare Ops at Tactile Medical is a excellent match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement Company is flagged as Target Company","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement | Company is flagged as Target Company","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Salesforce Business Systems Analyst,Daikin Applied Americas,"Plymouth, MN (Hybrid)",LinkedIn,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce Business Systems Analyst at Daikin Applied Americas is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-25
Business Analyst,On-Demand Group,"Hopkins, MN (Hybrid)",LinkedIn,100,Excellent Match,Business Analyst,Business Analyst Resume,Strong Resume Fit,"Business Analyst at On-Demand Group is a excellent match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Senior Business Analyst,On-Demand Group,"Eagan, MN (Hybrid)",LinkedIn,100,Excellent Match,Business Analyst,Business Analyst Resume,Strong Resume Fit,"Senior Business Analyst at On-Demand Group is a excellent match for the Business Analyst track. Aligns with business analysis, requirements gathering, and data storytelling goals Good opportunity to connect projects to business decision-making Matches preferred location/work arrangement","Aligns with business analysis, requirements gathering, and data storytelling goals | Good opportunity to connect projects to business decision-making | Matches preferred location/work arrangement","Use Business Analyst Resume. Focus on: Use the Business Analyst resume | Highlight requirements gathering, stakeholder communication, and dashboard work | Connect analytics projects to business decisions",Requirements gathering | Stakeholder communication | Data storytelling | Process improvement,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Senior Salesforce & API Integration Analyst (Hybrid),"Levi, Ray & Shoup, Inc.","Minneapolis, MN, United States",Google Job Alert,100,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Senior Salesforce & API Integration Analyst (Hybrid) at Levi, Ray & Shoup, Inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-24
Sales Operations Manager (Fully Remote),Pinnacle Method Consulting,United States (Remote),LinkedIn,95,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Sales Operations Manager (Fully Remote) at Pinnacle Method Consulting is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Salesforce admin jobs mn,Minnesota,T,Google Job Alert,95,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Salesforce admin jobs mn at Minnesota is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Senior AI & Data Architect: Enterprise Agentforce Leader,"salesforce.com, inc.","St Paul, MN, United States",Google Job Alert,95,Excellent Match,Salesforce / CRM,Salesforce Resume,Strong Resume Fit,"Senior AI & Data Architect: Enterprise Agentforce Leader at salesforce.com, inc. is a excellent match for the Salesforce / CRM track. Aligns with Salesforce Administrator and CRM career goals Good opportunity to discuss Salesforce projects, dashboards, and automation Matches preferred location/work arrangement Company is flagged as Dream Company","Aligns with Salesforce Administrator and CRM career goals | Good opportunity to discuss Salesforce projects, dashboards, and automation | Matches preferred location/work arrangement | Company is flagged as Dream Company","Use Salesforce Resume. Focus on: Lead with Salesforce Administrator certification | Highlight Flow Builder, reports, dashboards, and CRM process improvement | Mention hands-on Salesforce project work and business problem solving",Salesforce security model | Flow Builder examples | Reports and dashboards | Business requirements gathering,Review possible missing/watch skills: Agentforce,Prioritize for application,Not Applied,2026-06-26
Sales Operations Associate,Jobgether,United States (Remote),LinkedIn,95,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Sales Operations Associate at Jobgether is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,No major concerns flagged by current rules,Prioritize for application,Not Applied,2026-06-26
Sales Operations Specialist,Qcells North America,United States (Remote),LinkedIn,95,Excellent Match,Sales Ops / RevOps,Sales Ops / RevOps Resume,Strong Resume Fit,"Sales Operations Specialist at Qcells North America is a excellent match for the Sales Ops / RevOps track. Aligns with sales operations, CRM reporting, and pipeline support experience Strong bridge between sales background and technical CRM skills Matches preferred location/work arrangement","Aligns with sales operations, CRM reporting, and pipeline support experience | Strong bridge between sales background and technical CRM skills | Matches preferred location/work arrangement","Use Sales Ops / RevOps Resume. Focus on: Use the Sales Ops / RevOps resume | Highlight sales operations, CRM, reporting, and process improvement | Connect sales background to operational reporting and pipeline support",Pipeline reporting | Sales process improvement | CRM data quality | Stakeholder support,Review possible missing/watch skills: Revenue Operations,Prioritize for application,Not Applied,2026-06-26
